deepjet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.10448856640316709, 0.25843765743383756, -18.6879139939169*(x-0.10448856640316709)*(x-0.10448856640316709)*(x-0.10448856640316709)-1.0430080733453178*(x-0.10448856640316709)*(x-0.10448856640316709)+2.372990127769754*(x-0.10448856640316709)+1.3768421818836831
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.25843765743383756, 1.1, 1.6492566983042698
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, -15, 0, 0.9384680525151136
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0, 0.01, 0.9384680525151136
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.01, 0.03, -1433.514868719429*(x-0.01)*(x-0.01)*(x-0.01)-52.633598515579415*(x-0.01)*(x-0.01)+7.863425401844529*(x-0.01)+0.9384680525151136
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.03, 0.05, -4831.299195337149*(x-0.03)*(x-0.03)*(x-0.03)+43.99238539116358*(x-0.03)*(x-0.03)+4.0378636187580375*(x-0.03)+1.063215002196017
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.05, 0.0778912922966601, 66.08512848470518*(x-0.05)*(x-0.05)*(x-0.05)-2.7647994525438753*(x-0.05)*(x-0.05)+0.0*(x-0.05)+1.122918835164946
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.0778912922966601, 0.1331225060569196, -1110.8642809250425*(x-0.0778912922966601)*(x-0.0778912922966601)*(x-0.0778912922966601)+108.13707834669859*(x-0.0778912922966601)*(x-0.0778912922966601)+0.0*(x-0.0778912922966601)+1.1222019003771087
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.1331225060569196, 0.32420588130590694, -13.699425015918974*(x-0.1331225060569196)*(x-0.1331225060569196)*(x-0.1331225060569196)-0.27965595075176464*(x-0.1331225060569196)*(x-0.1331225060569196)+1.7790531245163705*(x-0.1331225060569196)+1.2649119044612969
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.32420588130590694, 1.1, 1.4990674568132856
